Latitude(deg),Longitude(deg),Time Zone,Tilt(deg),PV Azimuth(deg),GroundClearance(panel slope lengths),Row-to-Row-Distance rtr,RowType(first interior last single),TransmissionFactor(open area fraction),CellRows(# hor rows in panel),PVfrontSurface(glass or ARglass),PVbackSurface(glass or ARglass),Albedo,Tracking
37.517,-77.317,-5.0,74,180,1,1.5,interior,0.013,6,glass,glass,0.62,False
Year,Month,Day,Hour,Minute,DNI,DHI,decHRs,ghi,inc,zen,azm,pvFrontSH,aveFrontGroundGHI,GTIfrontBroadBand,pvBackSH,aveBackGroundGHI,GTIbackBroadBand,maxShadow,Tamb,Vwind,No_1_RowFrontGTI,No_2_RowFrontGTI,No_3_RowFrontGTI,No_4_RowFrontGTI,No_5_RowFrontGTI,No_6_RowFrontGTI,No_1_RowBackGTI,No_2_RowBackGTI,No_3_RowBackGTI,No_4_RowBackGTI,No_5_RowBackGTI,No_6_RowBackGTI
1987,1,1,8,0,2,9,7.5,9.101375017957679,58.59145287493271,87.09457464008314,121.88953186426373,0.8541050428679253,4.7165524485306864,8.085078512911737,1.0,4.7165524485306864,6.1174493397980925,1.5,1.1,3.6,3.7157410846396104,4.024548118740692,4.371646746920775,4.807866049414378,5.1955519062495545,6.154737624812014,3.048374358030147,3.1244326475942574,3.2323306274984756,3.391364697127125,3.5974470384272323,3.5278781082663158
1987,1,1,9,0,3,58,8.5,58.524760178051906,49.52415795321324,79.92599390889312,129.41391417115975,0.5957957202843664,29.110217261911902,55.71402281697322,1.0,29.110217261911902,39.14995060132803,1.5,1.7,5.2,22.91464343218425,24.81759596219709,26.956817050384412,34.3520723857859,43.103532522884905,43.88995387758344,18.805902431794102,19.27375298254825,19.938054615673344,20.917466175474985,22.18711474719516,21.988186570043144
1987,1,1,10,0,5,74,9.5,75.58207113171035,37.535670952605194,71.5537895265779,140.7113649619976,0.40146688817448145,38.26973837666813,64.71249300031772,1.0,38.26973837666813,50.99458018321269,1.5,2.2,4.1,30.135488145120615,32.63892536928688,39.28894653885492,45.478209829650694,48.62157278047628,49.68291311309918,24.728273029563756,25.344286323411904,26.218603128339623,27.507472498541674,29.177982278961217,28.94236360625666
1987,1,1,11,0,10,110,10.5,114.20704516289094,26.003737050259495,65.12092546296138,153.85145937145785,0.29786270141492416,55.83233807811332,102.73033143554636,1.0,55.83233807811332,76.19158015996318,1.5,2.2,5.2,43.93392883726124,51.13986999709467,68.40267053892507,73.55652751084318,78.1372292310702,79.8174430933621,36.06196715150614,36.95796753198429,38.230702338678995,40.10739052195402,42.54062511920378,42.32351185695925
1987,1,1,12,0,10,126,11.5,130.8034005955951,16.4237113980135,61.29238580686506,168.71236787183352,0.24884039791684326,63.65332155408916,117.37078342814084,1.0,63.65332155408916,87.24107363713955,1.5,2.2,5.2,50.083443788701196,63.902268608849255,77.97245845648234,83.84735097418016,89.06892661501985,91.05695228246368,41.11138849482221,42.13250256831312,43.58310865485863,45.7221434223901,48.495649445208926,48.31737411753602
1987,1,1,13,0,8,142,12.5,145.9295188118467,14.038521458270877,60.5811829000067,184.48751990082627,0.24053208767141665,70.82737395030952,131.3344097619551,1.0,70.82737395030952,97.33169513023952,1.5,2.2,5.7,55.72505932432039,72.46238743472017,87.30310441988381,93.83953947041927,99.64910628010128,101.91597251077673,45.74349357469264,46.879439263146615,48.493273266888025,50.87304454997015,53.95877200541954,53.812751604923356
1987,1,1,14,0,5,116,13.5,118.26253072854747,21.43674412953973,63.09541029535042,199.88742523120266,0.2707955937376866,58.84410919871042,102.79149452933885,1.0,58.84410919871042,79.54200506411738,1.5,2.8,7.2,46.32054770304888,54.8719823931421,67.02991810785305,72.46501278810382,77.2955915547877,79.09660692938638,38.01515329880227,38.96096246159578,40.30388871886299,42.283802056463955,44.850408458004566,44.64988685893086
1987,1,1,15,0,3,120,14.5,121.1008764381211,32.44117334918475,68.4718187966538,213.83136213146457,0.34777767248903163,59.38180441765818,109.7220031484768,1.0,59.38180441765818,80.93349189889477,1.5,2.8,7.2,46.72987628388539,50.60952435922878,71.64337727953509,78.70747455614111,83.5798724916046,85.38751005637168,38.35595400057398,39.30917755374552,40.663096803752964,42.65944467805813,45.24774228469107,45.03640235336376
1987,1,1,16,0,2,62,15.5,62.4810735580323,44.31992976768448,76.08177635024639,225.91411254779985,0.4956945681931241,31.910720052196833,53.152653280096594,1.0,31.910720052196833,42.25546537201356,1.5,2.8,9.8,25.132378146109122,27.22052378138181,29.69037787549436,37.266082959556584,39.88785068603201,40.745257642753884,20.621330220055725,21.13535542597407,21.86477837453751,22.939986366887027,24.333452615293833,24.11055321662667
1987,1,1,17,0,0,21,16.5,21.0,56.035310317988284,84.99611056735412,236.06076703204292,0.7658147265814037,11.002214004360217,16.477987877638324,1.0,11.002214004360217,14.278401759731867,1.5,2.8,8.8,8.669467715763522,9.390108533406886,10.20007775044025,11.217991390669267,12.122643453401274,12.378237382375177,7.111813141904601,7.289406792628904,7.541279982469067,7.912488768968562,8.39345950340687,8.278302401868007
