Latitude(deg),Longitude(deg),Time Zone,Tilt(deg),PV Azimuth(deg),GroundClearance(panel slope lengths),Row-to-Row-Distance rtr,RowType(first interior last single),TransmissionFactor(open area fraction),CellRows(# hor rows in panel),PVfrontSurface(glass or ARglass),PVbackSurface(glass or ARglass),Albedo,Tracking
37.517,-77.317,-5.0,95,180,1,1.5,interior,0.013,6,glass,glass,0.62,False
Year,Month,Day,Hour,Minute,DNI,DHI,decHRs,ghi,inc,zen,azm,pvFrontSH,aveFrontGroundGHI,GTIfrontBroadBand,pvBackSH,aveBackGroundGHI,GTIbackBroadBand,maxShadow,Tamb,Vwind,No_1_RowFrontGTI,No_2_RowFrontGTI,No_3_RowFrontGTI,No_4_RowFrontGTI,No_5_RowFrontGTI,No_6_RowFrontGTI,No_1_RowBackGTI,No_2_RowBackGTI,No_3_RowBackGTI,No_4_RowBackGTI,No_5_RowBackGTI,No_6_RowBackGTI
1987,1,1,8,0,2,9,7.5,9.101375017957679,58.5886528881855,87.09457464008314,121.88953186426373,0.8541167211375931,4.819552838286607,7.449247556633083,1.0,4.819552838286607,6.699484916497719,1.5,1.1,3.6,3.166734686449275,3.247046488290728,3.4352075182383244,3.710459812360439,4.015768739221275,4.851392787250981,3.5061469840806634,3.7109653732485657,4.002167265347889,4.3091404647686415,4.656159304849545,4.718390786219321
1987,1,1,9,0,3,58,8.5,58.524760178051906,52.590668141092095,79.92599390889312,129.41391417115975,0.56810238347642,29.745243319608072,51.35946862163265,1.0,29.745243319608072,42.48451878144863,1.5,1.7,5.2,19.53332630260723,20.027298505494283,21.186368354529776,28.965830936627007,35.05051177952523,35.07645697841341,21.625022832685445,22.886877047850664,24.681319750263725,26.57301434460601,28.71175869092753,29.342090521210537
1987,1,1,10,0,5,74,9.5,75.58207113171035,45.26497409882851,71.5537895265779,140.7113649619976,0.3256583223009574,39.10497049265243,59.04802513916097,1.0,39.10497049265243,55.53913787207421,1.5,2.2,4.1,25.68613635782728,26.59992057206798,33.58142550042581,35.81273312931903,38.28779437487958,38.34923114207079,28.438172825009616,30.098427382992607,32.459170067690046,34.94780263827585,37.76126521965828,38.617925345776776
1987,1,1,11,0,10,110,10.5,114.20704516289094,39.23262874237103,65.12092546296138,153.85145937145785,0.18529640006224138,57.04972459497285,93.69417165592048,1.0,57.04972459497285,82.37044157290995,1.5,2.2,5.2,37.45460744944553,51.13964542162787,54.963974873026245,58.21456825083641,61.8204970636192,62.0437891007047,41.46373140381287,43.88202304225054,47.32133097702786,50.947093867742865,55.046601309087116,56.43119529971381
1987,1,1,12,0,10,126,11.5,130.8034005955951,35.41467138703615,61.29238580686506,168.71236787183352,0.11591627692865464,65.04106513512147,106.91473070156162,1.0,65.04106513512147,94.22071293041978,1.5,2.2,5.2,47.61230670852903,59.91418938802285,62.44594381710273,66.15116631181506,70.2614569401034,70.58911296327983,47.26825920321579,50.02473045272371,53.94509792567052,58.07801582569299,62.75101146811303,64.40357871518565
1987,1,1,13,0,8,142,12.5,145.9295188118467,34.68754723688638,60.5811829000067,184.48751990082627,0.10396004273813057,72.37141148123743,119.62190450767625,1.0,72.37141148123743,105.0570176836427,1.5,2.2,5.7,54.423877385073155,67.08764605113939,69.90437535713849,74.0267374322568,78.5997935236378,79.01962341411738,52.593273968087225,55.66004741305419,60.02180154460728,64.62004615318803,69.81921865322782,71.71400394237912
1987,1,1,14,0,5,116,13.5,118.26253072854747,37.254960842362216,63.09541029535042,199.88742523120266,0.14723340796293755,60.12777838964801,93.64300023503675,1.0,60.12777838964801,86.30259793999087,1.5,2.8,7.2,40.73044349535845,51.16230619297452,53.50531752242854,56.93376845696206,60.73687271757278,61.00206785755171,43.71410033462632,46.26494505906337,49.89238080453025,53.71638891289524,58.03976962702158,59.52976418519849
1987,1,1,15,0,3,120,14.5,121.1008764381211,42.455122576141214,68.4718187966538,213.83136213146457,0.2539528897351761,60.67669144818455,100.22816305697177,1.0,60.67669144818455,87.54954884311985,1.5,2.8,7.2,39.83753191873893,48.39972733788893,59.0707662517698,62.52844907383523,66.36408343432683,66.62222798836791,44.10215187227641,46.6745539208591,50.332968304804574,54.189700447582126,58.55030595032212,60.043952279275665
1987,1,1,16,0,2,62,15.5,62.4810735580323,49.32441893487545,76.08177635024639,225.91411254779985,0.44642696594134,32.6073252552664,48.547945767719355,1.0,32.6073252552664,46.10630133306586,1.5,2.8,9.8,21.420705612213542,21.96341423379613,24.615643015946368,29.39015369256304,31.454636079818563,31.47796737961416,23.71624084186324,25.101153611309428,27.07028845596623,29.146080621959996,31.49275034411075,32.17887454431835
1987,1,1,17,0,0,21,16.5,21.0,56.875025284287666,84.99611056735412,236.06076703204292,0.7605801413805996,11.242548247124022,14.971142321536616,1.0,11.242548247124022,15.666645154959685,1.5,2.8,8.8,7.388113499412157,7.575622667318112,8.014762662971975,8.65711355152227,9.369593416848389,9.337210064175355,8.18032833495642,8.658348032087797,9.337926120578354,10.054296617195558,10.864084153427648,11.059744880183214
1987,1,2,8,0,20,10,7.5,11.011067395180175,58.71490535883153,87.10227011713297,121.76094868189031,0.8539755260872449,5.107530024364672,21.447795088785195,1.0,5.107530024364672,8.369551493497578,1.5,2.8,4.1,3.350492983083921,3.4347682486826123,3.6330784038975046,3.9234147545958993,4.245523209808569,15.77237593978094,3.7093902534536007,3.925433916508704,4.232741478399298,4.556696428200471,4.923006956027687,5.433799494249559
1987,1,2,9,0,36,84,8.5,90.29370066918334,52.724309181870616,79.93152456488664,129.27241605930888,0.5670153906542756,38.41071931322931,125.74186844696328,1.0,38.41071931322931,61.22672709248603,1.5,2.8,5.2,25.154531103675037,25.781806026657755,27.264655340928773,67.81839162834062,96.04065707856903,97.2305074014456,27.835471925375757,29.450811470348338,31.750452878492467,34.17517257803479,36.91830352362837,38.902429178405285
1987,1,2,10,0,21,154,9.5,160.65016227670102,45.39540734394238,71.53807493007216,140.56514791097268,0.32354785587211954,72.77559502314003,162.60537452385682,1.0,72.77559502314003,109.55635655983463,1.5,3.3,4.6,47.708599428768046,52.164105652549495,107.24017032640461,111.36921345988165,115.9505027426751,116.43625321129002,52.800187759312166,55.87045275253453,60.239708664344334,64.84637677920043,70.05685584295995,72.02400959104612
1987,1,2,11,0,129,174,10.5,228.3558143842506,39.35525129865934,65.07933685829006,153.7043836963056,0.1825911217708696,73.42080356822702,311.210538393095,1.0,73.42080356822702,139.07869853620412,1.5,4.4,4.6,47.819493595164296,203.2479739754388,222.32688461076984,226.41464179515856,230.95405529405176,236.59589879186746,52.865518070720825,55.899396081960276,60.22828397042301,64.79441763080727,69.96697505279026,77.16477615020426
1987,1,2,12,0,419,125,11.5,326.7113595542801,35.52149894128973,61.22237925120489,168.57424218337803,0.1127667240407448,42.61076340038915,589.1852076913152,1.0,42.61076340038915,149.74352757562622,1.5,7.2,7.2,164.82495269801865,454.04606281195635,455.47736206444904,457.6215477789373,460.0143839223522,471.2235272518392,29.484959532570137,31.057314682258752,33.33605008437842,35.74636538471323,38.50131551342967,50.69015448974371
