Latitude(deg),Longitude(deg),Time Zone,Tilt(deg),PV Azimuth(deg),GroundClearance(panel slope lengths),Row-to-Row-Distance rtr,RowType(first interior last single),TransmissionFactor(open area fraction),CellRows(# hor rows in panel),PVfrontSurface(glass or ARglass),PVbackSurface(glass or ARglass),Albedo,Tracking
37.517,-77.317,-5.0,123,180,1,1.5,interior,0.013,6,glass,glass,0.62,False
Year,Month,Day,Hour,Minute,DNI,DHI,decHRs,ghi,inc,zen,azm,pvFrontSH,aveFrontGroundGHI,GTIfrontBroadBand,pvBackSH,aveBackGroundGHI,GTIbackBroadBand,maxShadow,Tamb,Vwind,No_1_RowFrontGTI,No_2_RowFrontGTI,No_3_RowFrontGTI,No_4_RowFrontGTI,No_5_RowFrontGTI,No_6_RowFrontGTI,No_1_RowBackGTI,No_2_RowBackGTI,No_3_RowBackGTI,No_4_RowBackGTI,No_5_RowBackGTI,No_6_RowBackGTI
1987,1,1,8,0,2,9,7.5,9.101375017957679,65.4882662474757,87.09457464008314,121.88953186426373,0.8167389985840955,4.8803122809308155,6.590208358568491,1.0,4.8803122809308155,7.588882761003563,1.5,1.1,3.6,2.853675265964414,2.8519524488004158,2.8546844907829594,2.886692398598988,2.9962354547381986,3.4024208006593892,4.554260817695603,5.077141796502335,5.600462352624266,6.041635832940536,6.408967054412367,6.432718087384277
1987,1,1,9,0,3,58,8.5,58.524760178051906,64.59529933563508,79.92599390889312,129.41391417115975,0.38840469822020696,30.119842186870628,44.53803688626778,1.0,30.119842186870628,47.54709847636485,1.5,1.7,5.2,17.60768472359455,17.596172761425407,22.1903073200565,24.645828240393925,24.8561191781561,23.358267560364723,28.083092426923155,31.30621370777106,34.532034115531886,37.251414035860996,39.51566861719363,39.87743316385973
1987,1,1,10,0,5,74,9.5,75.58207113171035,63.67766720177646,71.5537895265779,140.7113649619976,0.0,39.77736616604753,51.805569517086866,1.0,39.77736616604753,62.386814703483985,1.5,2.2,4.1,26.601208022200506,26.583019022034886,26.59830737891147,26.855204326713647,27.120076598942866,25.16828263188027,36.954631248694476,41.19133346530905,45.43164695279037,49.00524712024961,51.983024031069036,52.482041148818126
1987,1,1,11,0,10,110,10.5,114.20704516289094,63.00972052100823,65.12092546296138,153.85145937145785,0.0,59.932823051779664,80.8151423716354,1.0,59.932823051779664,91.73425916387056,1.5,2.2,5.2,42.52082525139924,42.44365771616836,42.42187663373619,42.711366134190754,43.08635436170368,40.23611959246798,54.11926290532638,60.25914194120612,66.41084797456054,71.587617090231,75.886273177113,76.72025550061207
1987,1,1,12,0,10,126,11.5,130.8034005955951,62.629494499585824,61.29238580686506,168.71236787183352,0.0,69.25111542915339,92.04644516102348,1.0,69.25111542915339,104.78403836952931,1.2477609045883722,2.2,5.2,48.55652022789409,48.395063072111725,48.319575427540194,48.60331649383517,49.00109880863817,45.65713126442637,61.8295752950553,68.80685186718277,75.79684018157647,81.67854541945555,86.58473290294961,87.56463206414386
1987,1,1,13,0,8,142,12.5,145.9295188118467,62.56349065696967,60.5811829000067,184.48751990082627,0.0,77.41319097998078,102.8648525240505,1.0,77.41319097998078,116.73620460978468,1.205975501217154,2.2,5.7,54.37089066604578,54.173045818563295,54.07325507405308,54.37238144954199,54.78394376110779,51.08938418668495,68.84220077653136,76.59814026199783,84.36842592520605,90.90528444683835,96.36287798735584,97.49243220528199
1987,1,1,14,0,5,116,13.5,118.26253072854747,62.816671623372386,63.09541029535042,199.88742523120266,0.0,62.87108609711486,81.47473611278039,1.0,62.87108609711486,96.47357249521534,1.3627639533656692,2.8,7.2,42.191479652519476,42.09963947588748,42.07642913423862,42.392050994696575,42.78963598236212,39.7847528704672,57.0305481431864,63.50888343363047,69.99700743049078,75.460534434538,80.00743723836149,80.90400746479793
1987,1,1,15,0,3,120,14.5,121.1008764381211,63.3714098436726,68.4718187966538,213.83136213146457,0.0,62.85397298702833,86.54325760386268,1.0,62.85397298702833,97.5562843068448,1.5,2.8,7.2,45.4746569235611,45.43805560349344,45.441480603450856,45.78557210082326,46.19148553961403,43.2782603002588,57.434070699519964,63.98245772571893,70.53873838168076,76.06983672189799,80.66100367573196,81.5739297690194
1987,1,1,16,0,2,62,15.5,62.4810735580323,64.19204041642045,76.08177635024639,225.91411254779985,0.17124136787869104,33.018249369066965,42.77181343492215,1.0,33.018249369066965,51.90540755428988,1.5,2.8,9.8,19.305156736804694,21.90810616468882,22.00002491723128,22.216062772897374,22.447693335560068,20.801058233822488,30.803532882041885,34.33960791788953,37.87862133738376,40.86205201243515,43.346122734957284,43.738184258456144
1987,1,1,17,0,0,21,16.5,21.0,65.23161181846683,84.99611056735412,236.06076703204292,0.6877080850805759,11.38432027996052,13.413191599374525,1.0,11.38432027996052,17.759411124926128,1.5,2.8,8.8,6.657204487098627,6.653271883333561,6.659738385671293,6.7345346839908675,6.81475577165018,6.21478410268242,10.626408290850437,11.846515681036696,13.067636554165416,14.09707090452147,14.954190985456352,15.053599931326387
1987,1,2,8,0,20,10,7.5,11.011067395180175,65.58401296962549,87.10227011713297,121.76094868189031,0.8165514041581067,5.171725122591936,18.105199785460044,1.0,5.171725122591936,8.969639542355063,1.5,2.8,4.1,3.0219279825998884,3.0196689811875066,3.022094451655862,3.0553534845379438,4.061497436057291,12.787311642965735,4.815326745515848,5.367461222214167,5.919997183816327,6.385715171786607,6.773469401431362,7.186841550722633
1987,1,2,9,0,36,84,8.5,90.29370066918334,64.69144283745801,79.93152456488664,129.27241605930888,0.3865687915769753,38.89197442614445,103.35724804444813,1.0,38.89197442614445,65.21347484574112,1.5,2.8,5.2,22.70852759038211,22.688162707994746,51.713983575275996,65.57448713780386,65.83632578273478,64.82383644291755,36.10770456085259,40.24487885524245,44.38551781024306,47.87568184126757,50.781981002994414,52.27221824866041
